entry,recipient_id,recorded_date,duration_s,progress,module,question_id,answer
1,48,2022-03-11T13:57:46Z,20,100,4,eval4_1,4
2,48,2022-03-11T13:57:46Z,20,100,4,eval4_2,4
3,48,2022-03-11T13:57:46Z,20,100,4,eval4_3,3
4,48,2022-03-11T13:57:46Z,20,100,4,eval4_4,3
5,48,2022-03-11T13:57:46Z,20,100,4,eval4_5,4
6,47,2022-03-11T13:58:13Z,31,100,4,eval4_1,4
7,47,2022-03-11T13:58:13Z,31,100,4,eval4_2,4
8,47,2022-03-11T13:58:13Z,31,100,4,eval4_3,4
9,47,2022-03-11T13:58:13Z,31,100,4,eval4_4,4
10,47,2022-03-11T13:58:13Z,31,100,4,eval4_5,5
11,24,2022-03-11T13:58:40Z,81,100,4,eval4_1,5
12,24,2022-03-11T13:58:40Z,81,100,4,eval4_2,4
13,24,2022-03-11T13:58:40Z,81,100,4,eval4_3,4
14,24,2022-03-11T13:58:40Z,81,100,4,eval4_4,4
15,24,2022-03-11T13:58:40Z,81,100,4,eval4_5,4
16,36,2022-03-11T14:00:40Z,51,100,4,eval4_1,4
17,36,2022-03-11T14:00:40Z,51,100,4,eval4_2,4
18,36,2022-03-11T14:00:40Z,51,100,4,eval4_3,4
19,36,2022-03-11T14:00:40Z,51,100,4,eval4_4,4
20,36,2022-03-11T14:00:40Z,51,100,4,eval4_5,4
21,26,2022-03-11T14:01:11Z,36,100,4,eval4_1,3
22,26,2022-03-11T14:01:11Z,36,100,4,eval4_2,2
23,26,2022-03-11T14:01:11Z,36,100,4,eval4_3,3
24,26,2022-03-11T14:01:11Z,36,100,4,eval4_4,3
25,26,2022-03-11T14:01:11Z,36,100,4,eval4_5,2
26,58,2022-03-11T14:02:20Z,44,100,4,eval4_1,2
27,58,2022-03-11T14:02:20Z,44,100,4,eval4_2,2
28,58,2022-03-11T14:02:20Z,44,100,4,eval4_3,4
29,58,2022-03-11T14:02:20Z,44,100,4,eval4_4,2
30,58,2022-03-11T14:02:20Z,44,100,4,eval4_5,4
31,57,2022-03-11T14:04:20Z,17,100,4,eval4_1,5
32,57,2022-03-11T14:04:20Z,17,100,4,eval4_2,4
33,57,2022-03-11T14:04:20Z,17,100,4,eval4_3,5
34,57,2022-03-11T14:04:20Z,17,100,4,eval4_4,5
35,57,2022-03-11T14:04:20Z,17,100,4,eval4_5,5
36,40,2022-03-11T14:09:26Z,56,100,4,eval4_1,5
37,40,2022-03-11T14:09:26Z,56,100,4,eval4_2,4
38,40,2022-03-11T14:09:26Z,56,100,4,eval4_3,5
39,40,2022-03-11T14:09:26Z,56,100,4,eval4_4,4
40,40,2022-03-11T14:09:26Z,56,100,4,eval4_5,4
41,68,2022-03-11T14:10:53Z,18,100,4,eval4_1,3
42,68,2022-03-11T14:10:53Z,18,100,4,eval4_2,3
43,68,2022-03-11T14:10:53Z,18,100,4,eval4_3,3
44,68,2022-03-11T14:10:53Z,18,100,4,eval4_4,3
45,68,2022-03-11T14:10:53Z,18,100,4,eval4_5,3
46,74,2022-03-11T14:19:51Z,16,100,4,eval4_1,5
47,74,2022-03-11T14:19:51Z,16,100,4,eval4_2,4
48,74,2022-03-11T14:19:51Z,16,100,4,eval4_3,4
49,74,2022-03-11T14:19:51Z,16,100,4,eval4_4,4
