question_id,answer_type,definition_1,definition_2,definition_3,definition_4,definition_5,definition_6,definition_7,definition_8,grouping,question_type,question
prepost14_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Intent to Engage,I will be successful at engaging in science communication in the next year.
prepost14_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Intent to Engage,The public will be more accepting of science after I engage in science communication.
prepost14_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Intent to Engage,I will not be successful in learning new concepts related to science communication.
prepost14_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Intent to Engage,Engaging in science communication will improve my job performace.
prepost7_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,Engaging in science communication improves my self worth.
prepost7_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,Successfully communicating my research to the public makes me feel good about myself.
prepost7_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,I believe engaging in science communication is necessary for me to feel successful.
prepost7_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,Engaging in science communication is not necessary to show I am competent.
prepost7_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,I value the prestige associated with being a top science communicator.
prepost7_6,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Attainment Value,I do not need to prove myself by participating in science communication.
prepost8_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Cost Belief Value,Engaging in science communication will take time away from my  job responsibilities. 
prepost8_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Cost Belief Value,Science communication will provide me opportunities for interdisciplinary collaboration.
prepost8_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Cost Belief Value,Engaging in science communication will cause me to lose credibility with my peers.
prepost8_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Cost Belief Value,Engaging in science communication will take funds away from other activities.
prepost8_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Cost Belief Value,I would waste too much time if I engaged in science communication.
post28,Level of Agreement,Much less interested,A little interested,The same,A little more interested,Much more interested,,,,Sci Comm,Change in Sci Comm Interest,"After participating in the training and events, how much more or less interested are you in conveying science to the general public?"
post6_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,Engaging in science communication is exciting.
post6_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,I enjoy participating in science communication.  
post6_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,Learning about science communication is boring.  
