"recipient_id","iteration","composite_pre","composite_post","total_change","ele","scicomm","isl","after_school"
65,"Spring 2022","20","17","-3",0,1,1,1
25,"Fall 2022","18","15","-3",0,0,0,0
73,"Spring 2022","16","13","-3",1,1,1,0
82,"Fall 2022","14","12","-2",1,0,1,0
28,"Spring 2023","15","13","-2",1,0,1,1
49,"Spring 2022","15","13","-2",0,0,0,0
35,"Spring 2023","15","13","-2",1,0,0,0
32,"Spring 2022","14","12","-2",1,0,0,1
85,"Spring 2022","14","12","-2",0,0,1,0
54,"Spring 2022","14","13","-1",1,1,1,1
83,"Spring 2022","15","14","-1",1,0,0,0
66,"Spring 2022","15","14","-1",0,1,1,1
52,"Spring 2023","14","13","-1",1,0,0,0
64,"Spring 2023","15","14","-1",1,1,1,0
60,"Spring 2022","14","13","-1",0,0,0,0
53,"Spring 2022","14","13","-1",1,1,0,0
5,"Spring 2022","15","14","-1",1,0,0,0
81,"Fall 2022","13","12","-1",1,0,0,0
46,"Spring 2023","16","15","-1",1,0,0,1
87,"Spring 2022","14","13","-1",0,1,0,0
78,"Spring 2023","15","15","0",1,1,0,0
108,"Spring 2023","14","14","0",0,1,0,0
72,"Spring 2023","14","14","0",1,1,0,0
11,"Spring 2023","14","14","0",1,0,0,0
23,"Spring 2023","16","16","0",1,0,0,0
63,"Spring 2023","14","14","0",1,1,0,0
24,"Spring 2022","12","12","0",1,0,0,0
26,"Spring 2022","12","12","0",1,0,0,0
61,"Spring 2022","16","16","0",1,1,1,0
86,"Spring 2023","14","14","0",1,1,1,1
4,"Spring 2023","14","14","0",1,0,0,0
40,"Spring 2022","15","15","0",1,0,0,0
43,"Spring 2022","14","14","0",0,0,0,0
21,"Fall 2022","14","14","0",0,0,0,0
34,"Spring 2023","16","16","0",1,0,0,0
75,"Spring 2023","14","14","0",0,1,1,0
58,"Spring 2022","14","14","0",1,0,0,0
48,"Spring 2022","11","12","1",0,0,1,0
88,"Spring 2023","15","16","1",1,0,1,0
47,"Spring 2022","13","14","1",0,1,0,0
37,"Spring 2023","16","17","1",1,1,1,1
30,"Fall 2022","13","14","1",1,0,0,0
15,"Fall 2022","13","14","1",1,0,0,0
33,"Spring 2023","13","14","1",1,0,0,1
84,"Spring 2023","13","14","1",1,0,0,0
71,"Spring 2022","14","15","1",1,0,0,0
51,"Spring 2023","16","17","1",1,0,0,0
31,"Spring 2022","12","13","1",0,0,0,0
90,"Spring 2022","13","14","1",1,1,0,0
6,"Spring 2023","15","16","1",1,1,0,1
103,"Spring 2022","13","15","2",0,0,0,0
57,"Spring 2022","13","15","2",1,0,0,0
36,"Spring 2022","14","16","2",1,1,0,0
2,"Spring 2023","13","15","2",1,1,0,1
1,"Spring 2022","12","14","2",1,0,0,0
106,"Fall 2022","13","15","2",0,0,1,0
20,"Fall 2022","11","13","2",0,1,1,0
67,"Fall 2022","14","16","2",1,0,0,0
45,"Spring 2022","13","15","2",1,1,1,1
38,"Spring 2022","14","17","3",1,0,0,0
74,"Spring 2022","12","15","3",1,1,0,0
96,"Spring 2022","13","16","3",0,0,1,0
55,"Spring 2022","10","13","3",1,0,0,0
14,"Fall 2022","11","14","3",1,1,1,1
44,"Spring 2022","13","16","3",0,1,0,0
68,"Spring 2022","14","18","4",1,0,1,0
89,"Spring 2023","15","20","5",1,0,0,0
41,"Fall 2022","12","19","7",0,1,0,0
