"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele","scicomm","isl","after_school"
49,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,1,1,0,0,0,0
49,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,0,0,0,0
49,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,4,3,0,0,0,0
49,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,2,2,0,0,0,0
57,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,2,2,1,0,0,0
57,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,3,3,1,0,0,0
57,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,3,2,1,0,0,0
57,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,3,2,1,0,0,0
65,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,1,1,0,1,1,1
65,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,0,1,1,1
65,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,0,1,1,1
65,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,2,2,0,1,1,1
66,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,2,2,0,1,1,1
66,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,0,1,1,1
66,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,0,1,1,1
66,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,1,1,0,1,1,1
5,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,4,4,1,0,0,0
5,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,4,3,1,0,0,0
5,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,3,2,1,0,0,0
5,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,2,2,1,0,0,0
90,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,1,1,1,1,0,0
90,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,2,1,1,1,0,0
90,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,1,1,0,0
90,"Spring 2022","prepost18","How confident are you in working with kids?","Scale","Very confident","Somewhat confident","A little confident","Not at all confident",NULL,2,2,1,1,0,0
1,"Spring 2022","prepost15","How comfortable do you feel presenting to groups?","Scale","Very comfortable","Somewhat comfortable","A little comfortable","Not at all comfortable",NULL,2,2,1,0,0,0
1,"Spring 2022","prepost16","How much do you like presenting to groups?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,1,0,0,0
1,"Spring 2022","prepost17","How much do you feel you're a role model?","Scale","A lot","Some ","A little","Not at all",NULL,2,2,1,0,0,0
