"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele","scicomm","isl","after_school","arachnid_course","arachnid_research"
74,"Spring 2022","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",3,1,1,1,0,0,0,1
5,"Spring 2022","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",2,1,1,0,0,0,0,0
73,"Spring 2022","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",1,1,1,1,1,0,0,0
60,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",4,1,0,0,0,0,0,0
20,"Fall 2022","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",1,1,0,1,1,0,0,0
15,"Fall 2022","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",4,1,1,0,0,0,0,0
37,"Spring 2023","prepost23","Consider the groups of people you spend time with socially. How would you describe them?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",4,1,1,1,1,1,0,0
33,"Spring 2023","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",4,1,1,0,0,1,0,0
33,"Spring 2023","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",2,1,1,0,0,1,0,0
47,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",3,2,0,1,0,0,0,0
47,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",2,2,0,1,0,0,0,0
74,"Spring 2022","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",3,2,1,1,0,0,0,1
58,"Spring 2022","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",2,2,1,0,0,0,0,0
58,"Spring 2022","prepost24","Think about times you have delivered presentations related to science. How would you generally describe your audience?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",4,2,1,0,0,0,0,0
26,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,1,0,0,0,0,0
57,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",2,2,1,0,0,0,0,0
31,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,0,0,0,0,0,0
31,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",2,2,0,0,0,0,0,0
31,"Spring 2022","prepost23","Consider the groups of people you spend time with socially. How would you describe them?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",4,2,0,0,0,0,0,0
36,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,1,1,0,0,0,0
36,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",1,2,1,1,0,0,0,0
71,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,1,0,0,0,0,0
71,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",1,2,1,0,0,0,0,0
32,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",3,2,1,0,0,1,0,0
32,"Spring 2022","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",4,2,1,0,0,1,0,0
32,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",3,2,1,0,0,1,0,0
73,"Spring 2022","prepost23","Consider the groups of people you spend time with socially. How would you describe them?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",3,2,1,1,1,0,0,0
60,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",3,2,0,0,0,0,0,0
60,"Spring 2022","prepost21","Think about the people who you talk to about science. How would you describe these people?","Scale","They have a variety of attitudes and beliefs that differ from my own.",NULL,NULL,NULL,"They share similar attitudes and beliefs to me.",3,2,0,0,0,0,0,0
49,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,0,0,0,0,0,0
55,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",2,2,1,0,0,0,0,0
55,"Spring 2022","prepost24","Think about times you have delivered presentations related to science. How would you generally describe your audience?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",4,2,1,0,0,0,0,0
45,"Spring 2022","prepost20","How would you describe the people who do ask you questions about science? ","Scale","Different from me",NULL,NULL,NULL,"Similar to me",2,2,1,1,1,1,1,1
45,"Spring 2022","prepost23","Consider the groups of people you spend time with socially. How would you describe them?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",3,2,1,1,1,1,1,1
45,"Spring 2022","prepost24","Think about times you have delivered presentations related to science. How would you generally describe your audience?","Scale","People who have values and attitudes that differ from mine.",NULL,NULL,NULL,"People who have values and attitudes similar to mine.",3,2,1,1,1,1,1,1
87,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",3,2,0,1,0,0,0,0
43,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",2,2,0,0,0,0,0,0
103,"Spring 2022","prepost19","In general, how often do members of the public ask you about science? ","Scale","Never",NULL,NULL,NULL,"Very often",3,2,0,0,0,0,0,0
103,"Spring 2022","prepost22","How often do you engage the public in discussions about science?","Scale","Never",NULL,NULL,NULL,"Very often",3,2,0,0,0,0,0,0
