"recipient_id","definition1","definition2","definition3","definition4","question","answer"
26,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
40,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
32,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
44,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
73,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
45,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
43,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
103,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
83,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
85,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
81,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
82,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
93,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
41,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
67,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
28,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
34,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
78,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
89,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",1
24,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
47,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
74,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
68,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
58,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
57,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
61,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
5,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
31,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
36,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
71,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
48,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
1,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
60,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
66,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
49,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
38,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
54,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
53,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
55,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
90,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
65,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
87,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
96,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
30,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
20,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
18,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
15,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
21,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
14,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
106,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
86,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
108,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
52,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
46,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
88,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
75,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
51,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
4,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
11,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
6,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
37,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
84,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
23,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
2,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
33,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
63,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",2
25,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",3
35,"Male","Female","Non-binary/third gender","Prefer not to say","How would you describe your gender?",3
