"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele","scicomm","isl","after_school"
49,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4,0,0,0,0
49,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3,0,0,0,0
49,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2,0,0,0,0
49,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",3,2,0,0,0,0
57,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4,1,0,0,0
57,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4,1,0,0,0
57,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3,1,0,0,0
57,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",2,1,1,0,0,0
65,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4,0,1,1,1
65,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4,0,1,1,1
65,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3,0,1,1,1
65,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",1,1,0,1,1,1
66,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4,0,1,1,1
66,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4,0,1,1,1
66,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",1,2,0,1,1,1
66,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",1,1,0,1,1,1
5,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3,1,0,0,0
5,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,2,1,0,0,0
5,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3,1,0,0,0
5,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",4,5,1,0,0,0
90,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4,1,1,0,0
90,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3,1,1,0,0
90,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,2,1,1,0,0
90,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",4,2,1,1,0,0
1,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4,1,0,0,0
1,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,3,1,0,0,0
1,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3,1,0,0,0
1,"Spring 2022","prepost13","Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?","Scale","The trainings have prepared me to engage in science communication.",NULL,NULL,NULL,"The trainings have not prepared me to engage in science communication. ",3,4,1,0,0,0
58,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5,1,0,0,0
58,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4,1,0,0,0
58,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,1,1,0,0,0
