"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele"
24,"Spring 2022","prepost8_3","Engaging in science communication will cause me to lose credibility with my peers.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,1
24,"Spring 2022","prepost8_5","I would waste too much time if I engaged in science communication.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,1
24,"Spring 2022","prepost14_3","I will not be successful in learning new concepts related to science communication.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,1
47,"Spring 2022","prepost8_3","Engaging in science communication will cause me to lose credibility with my peers.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,0
47,"Spring 2022","prepost8_5","I would waste too much time if I engaged in science communication.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,0
74,"Spring 2022","prepost8_3","Engaging in science communication will cause me to lose credibility with my peers.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,1
74,"Spring 2022","prepost8_4","Engaging in science communication will take funds away from other activities.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,1,1
74,"Spring 2022","prepost8_5","I would waste too much time if I engaged in science communication.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,1,1
74,"Spring 2022","prepost14_3","I will not be successful in learning new concepts related to science communication.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,1,1
68,"Spring 2022","prepost8_1","Engaging in science communication will take time away from my  job responsibilities. ","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,1,1
