"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele","scicomm","isl","after_school"
47,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,2,0,1,0,0
49,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,2,0,0,0,0
33,"Spring 2023","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,2,1,0,0,1
5,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,1,0,0,0
60,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",2,3,0,0,0,0
53,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,1,1,0,0
55,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,1,0,0,0
65,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,0,1,1,1
87,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",2,3,0,1,0,0
30,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,3,1,0,0,0
82,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,1,0,1,0
67,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,3,1,0,0,0
72,"Spring 2023","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,3,1,1,0,0
24,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,4,1,0,0,0
68,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,0,1,0
71,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,0,0,0
48,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,0,0,1,0
32,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,0,0,1
44,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,0,1,0,0
73,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,4,1,1,1,0
38,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,4,1,0,0,0
45,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,4,1,1,1,1
43,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,4,0,0,0,0
83,"Spring 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,0,0,0
81,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,0,0,0
20,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,4,0,1,1,0
41,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,0,1,0,0
21,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",3,4,0,0,0,0
14,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",5,4,1,1,1,1
106,"Fall 2022","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,0,0,1,0
86,"Spring 2023","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",4,4,1,1,1,1
108,"Spring 2023","prepost29","How much do you think you are a science kind of person?","Scale","None at all","A little","A moderate amount","A lot","A great deal",2,4,0,1,0,0
