"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele"
38,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,1
38,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,2,1
38,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,2,1
65,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,0
20,"Fall 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,2,0
20,"Fall 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,2,0
20,"Fall 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,2,0
106,"Fall 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,2,0
52,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,2,1
52,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,2,1
52,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,2,1
52,"Spring 2023","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,2,1
23,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,1
2,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,1
2,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,1
33,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,2,1
47,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
47,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
