"recipient_id","question_id","question","definition1","definition2","pre_answer","post_answer"
57,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",1,1
71,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",1,1
82,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",1,0
11,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",1,1
49,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
65,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
66,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
5,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
90,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
1,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
58,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
31,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
47,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
96,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
26,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
73,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
38,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
68,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
74,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
60,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
53,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
24,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
44,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
43,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
45,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
48,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
54,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
87,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
61,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
32,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
83,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
85,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
103,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
81,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
21,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
67,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
25,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
106,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
20,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
15,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
14,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
41,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
75,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
64,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
86,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
35,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
37,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
23,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
78,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
33,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
2,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
6,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
28,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
72,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
84,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
88,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
4,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
63,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
46,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
108,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
52,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
34,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
89,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
51,"prepost25_1","I avoid going to parks or on camping trips because there may be spiders about.","TRUE","FALSE",0,0
82,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",1,0
20,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",1,0
52,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",1,1
49,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
57,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
65,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
66,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
5,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
90,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
1,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
58,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
31,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
47,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
96,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
26,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
73,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
38,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
68,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
74,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
71,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
60,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
53,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
24,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
44,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
43,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
45,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
48,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
54,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
87,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
61,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
32,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
83,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
85,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
103,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
81,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
21,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
67,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
25,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
106,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
15,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
14,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
41,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,1
75,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
64,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
86,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
11,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
35,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
37,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
23,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
78,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
33,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
2,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
6,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
28,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
72,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
84,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
88,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
4,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
63,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
46,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
108,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
34,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
89,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
51,"prepost25_10","I feel sick when I see a spider.","TRUE","FALSE",0,0
57,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
65,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
48,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
21,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
82,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
15,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
11,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
33,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
2,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
84,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,1
88,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
4,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",1,0
49,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
66,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
5,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
90,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
1,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
58,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
31,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
47,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
96,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
26,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
73,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
38,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
68,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
74,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
71,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,1
60,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
53,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
24,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
44,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
43,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
45,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
54,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
87,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
61,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
32,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
83,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
85,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
103,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
81,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
67,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
25,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
106,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,1
20,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
14,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
41,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,1
75,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
64,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
86,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
35,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
37,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
23,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
78,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
6,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
28,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
72,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
63,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
46,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
108,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
52,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,1
34,"prepost25_11","I shudder when I think of spiders.","TRUE","FALSE",0,0
