"recipient_id","answer"
1,1
2,1
3,NULL
4,1
5,1
6,1
7,NULL
8,NULL
9,NULL
10,NULL
11,1
12,NULL
13,NULL
14,1
15,1
16,NULL
17,NULL
18,1
19,NULL
20,0
21,0
22,NULL
23,1
24,1
25,0
26,1
27,0
28,1
29,NULL
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,NULL
40,1
41,0
42,NULL
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,NULL
51,1
52,1
53,1
54,1
55,1
56,NULL
57,1
58,1
59,NULL
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,NULL
70,NULL
71,1
72,1
73,1
74,1
75,0
76,1
77,NULL
78,1
79,NULL
80,NULL
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,NULL
92,NULL
93,1
94,NULL
95,NULL
96,0
97,NULL
98,NULL
99,NULL
100,NULL
101,NULL
102,NULL
103,0
104,NULL
105,NULL
106,0
107,NULL
108,0
109,NULL
110,NULL
